question,grading_notes,retriever,response,score
"What is the capital city of Baghlan Province, and what function does it serve in the province?","A correct answer must name Pul-e Khumri and state that it functions as the main administrative, economic, and population center of the province.",hybrid,"The capital city of Baghlan Province is **Pul-e Khumri**. The excerpt says it “**functions as the main administrative, economic, and population center of the province**.”",pass
"Where is Unnecessary Mountain located, and how high is its taller south summit?","Correct answer must identify that Unnecessary Mountain is in the North Shore Mountains near Vancouver, British Columbia, Canada, and state that its taller south summit is 1,548 m (5,079 ft) high.",hybrid,"Unnecessary Mountain is “a peak in the North Shore Mountains near Vancouver, British Columbia, Canada.” Its taller south summit has an elevation of “1,548 m (5,079 ft).”",pass
"What event from history does the Bayeux Tapestry portray, and who commanded the Norman side?","Correct answer must mention the Norman Conquest of England in 1066 and identify William, Duke of Normandy, as the leader of the Norman side.",hybrid,"The Bayeux Tapestry portrays “the events leading up to the Norman Conquest of England in 1066, led by William, Duke of Normandy … and culminating in the Battle of Hastings.” It says the Norman side was commanded by “William, Duke of Normandy” — also identified in the Battle of Hastings article as “William of Normandy.”",pass
"What are James Trotter’s highest ATP singles and doubles rankings in his career, and when did he reach each one?","A correct answer must mention both rankings and both dates: singles world No. 170 achieved on 21 April 2025, and doubles No. 142 achieved on 9 September 2024.",hybrid,"James Trotter’s career-high ATP rankings are:

- **Singles:** **No. 170**, achieved on **21 April 2025** — the excerpt says he “**has a career high ATP singles ranking of world No. 170 achieved on 21 April 2025**.”
- **Doubles:** **No. 142**, achieved on **9 September 2024** — the excerpt says he has “**a doubles ranking of No. 142 achieved on 9 September 2024**.”",pass
"Who started Nuclear Blast Records, and in what year and city was it established?",A correct answer must name Markus Staiger and state that the label was founded in 1987 in Donzdorf (Germany).,hybrid,Nuclear Blast Records was started by **Markus Staiger**. The article says it was “**founded in 1987 by Markus Staiger in Donzdorf**.”,pass
"On which date is Christmas mainly celebrated, and what event does it remember?",A correct answer must state that Christmas is observed primarily on December 25 and that it commemorates the birth of Jesus Christ.,hybrid,Christmas is mainly celebrated on **December 25**. It is “an annual festival commemorating **the birth of Jesus Christ**” and its significance is the “commemoration of the nativity of Jesus.”,pass
"What is the location of Unnecessary Mountain, and what is the elevation of its higher south summit?","Correct answer must identify that Unnecessary Mountain is in the North Shore Mountains near Vancouver, British Columbia, Canada, and state that its taller south summit is 1,548 m (5,079 ft) high.",hybrid,"Unnecessary Mountain is located in the **North Shore Mountains near Vancouver, British Columbia, Canada**: it is “**a peak in the North Shore Mountains near Vancouver, British Columbia, Canada**.”

Its higher south summit has an elevation of **1,548 m (5,079 ft)**: “**the taller south summit has an elevation of 1,548 m (5,079 ft)**.”",pass
"What kind of video game is Final Fantasy VII, and what platform was it developed and published for?",A correct answer must identify Final Fantasy VII as a 1997 role-playing video game and state that it was developed and published by Square for the PlayStation.,hybrid,"Final Fantasy VII is ""a 1997 role-playing video game"" and was ""developed and published by Square for the PlayStation.""",pass
"What are James Trotter’s career-best ATP singles and doubles rankings, and on what dates did he achieve them?","A correct answer must mention both rankings and both dates: singles world No. 170 achieved on 21 April 2025, and doubles No. 142 achieved on 9 September 2024.",hybrid,"James Trotter’s career-best rankings were:

- **Singles:** world **No. 170**, achieved on **21 April 2025** — “*He has a career high ATP singles ranking of world No. 170 achieved on 21 April 2025*.”
- **Doubles:** world **No. 142**, achieved on **9 September 2024** — “*a doubles ranking of No. 142 achieved on 9 September 2024*.”",pass
"Who was Melville Fuller, and what role did he serve on the United States Supreme Court from 1888 until he died in 1910?","Correct answer must identify Melville Weston Fuller as an American politician, attorney, and jurist, and state that he served as the eighth Chief Justice of the United States (the Supreme Court) from 1888 until 1910/his death.",hybrid,"Melville Fuller was “an American politician, attorney, and jurist” who served as “the eighth chief justice of the United States from 1888 until his death in 1910.” The excerpt also says he was “Chief Justice of the United States from 1888 to 1910.”",pass
"Based on the article, which MLB team holds the record for the longest winning streak overall, and how many games in a row did it win?",A correct answer must name the 1916 New York Giants and state that they won 26 consecutive games.,hybrid,"The article says the **1916 New York Giants** hold the record for the longest winning streak overall in MLB, with **26 consecutive games**: “**The National League’s 1916 New York Giants hold the record of winning 26 consecutive games.**”",pass
"What is Lamont Jody Hawkins’s stage name, and what does it mean?",A correct answer must identify that Lamont Jody Hawkins is known as U-God and explain that U-God is short for “Universal God Allah.”,hybrid,"Lamont Jody Hawkins’s stage name is **U-God**.

The excerpt says it is “**U-God (short for Universal God Allah)**” and later that he changed his name to U-God, “**which is short for his Five-Percent Nation righteous name ‘Universal God Allah’**.”",pass
"In the 2015 Meiji Yasuda J3 League, how many matches did each club play, and how many rounds was the competition split into?",A correct answer must state that each team played 36 matches total and that the league was played in three rounds.,hybrid,"The 2015 Meiji Yasuda J3 League was ""played in three rounds,"" and ""each team playing a total of 36 matches.""",pass
"According to the article, which Major League Baseball team has the longest overall winning streak, and how many straight games did it win?",A correct answer must name the 1916 New York Giants and state that they won 26 consecutive games.,hybrid,"According to the article, the **New York Giants** have the longest overall winning streak in Major League Baseball history: **26 consecutive games**.

The excerpt says: “**The National League’s 1916 New York Giants hold the record of winning 26 consecutive games.**”",pass
"What genre is Final Fantasy VII, and which platform was it developed and released on?",A correct answer must identify Final Fantasy VII as a 1997 role-playing video game and state that it was developed and published by Square for the PlayStation.,hybrid,"Final Fantasy VII is a **“role-playing video game”** — the excerpt says it was “**a 1997 role-playing video game developed and published by Square for the PlayStation**.”

So, its genre is **role-playing**, and it was developed and released on the **PlayStation**.",pass
"What was the population of Broken Arrow, Oklahoma, according to the 2020 census?","Correct answer must state that Broken Arrow has a population of 113,540 residents according to the 2020 census.",hybrid,"According to the excerpt, “Broken Arrow has a population of **113,540** residents” as of the 2020 census.",pass
At what point did Clyfford Still move from representational art to abstract painting?,Correct answer must state that the shift occurred between 1938 and 1942.,hybrid,Clyfford Still’s shift from representational to abstract painting “occurred between **1938 and 1942**.”,pass
"Where is the Treasury of Atreus located, and what type of tomb is it?","A correct answer must say that it is in Mycenae, Greece, and that it is a large tholos (beehive) tomb.",hybrid,"The Treasury of Atreus is located in **Mycenae, Greece**. The excerpt says it is **“a large tholos or beehive tomb”** and also describes it as a **“tholos tomb at Mycenae, Greece.”**",pass
Which philanthropic efforts was Mary Elizabeth Butt especially interested in?,Correct answer must mention both: care of emotionally disturbed children and development of library services. Minor paraphrase is acceptable.,hybrid,Mary Elizabeth Butt’s philanthropic efforts were “particularly focused on the care of emotionally disturbed children and the development of library services.”,pass
"What stage name does Lamont Jody Hawkins use, and what does it stand for?",A correct answer must identify that Lamont Jody Hawkins is known as U-God and explain that U-God is short for “Universal God Allah.”,hybrid,"Lamont Jody Hawkins uses the stage name **U-God**, which stands for **“Universal God Allah.”** The excerpt says he is “**known by his stage name U-God (short for Universal God Allah)**.”",pass
"In what year did Emmanuel Macron get elected President of France, and who did he beat in the second round?",Correct answer must mention that he was elected in 2017 and that he defeated Marine Le Pen in the second round.,hybrid,"Emmanuel Macron was elected President of France in **2017**. The excerpt says he was elected “**in May 2017 with 66% of the second-round vote, defeating Marine Le Pen of the National Front**.”",pass
"Who was the first player to win the Pete Rozelle Trophy for Super Bowl MVP, and at which Super Bowl was it first presented?",Correct answer must name Ottis Anderson and Super Bowl XXV. Both the player and the specific Super Bowl number must be included.,hybrid,"The article says, “**Ottis Anderson was the first to win the trophy**.” It also says the Pete Rozelle Trophy was first awarded “**at Super Bowl XXV**.”",pass
What was notable about Novak Djokovic’s 2016 French Open victory regarding his career Grand Slam and the number of major titles he held simultaneously?,"A correct answer must mention that Djokovic completed a career Grand Slam by winning all four major tournaments, and that he also achieved a non-calendar-year Grand Slam by holding all four major titles at once. It is acceptable to state that he was the first man since Rod Laver in 1969 to do so.",hybrid,"According to the excerpts, Djokovic’s 2016 French Open win was notable because it completed his career Grand Slam and made him the first man since 1969 to hold all four Grand Slam titles consecutively at once. The Djokovic–Murray rivalry article says he won the 2016 French Open final, “**became the first man since 1969 to win 4 Grand Slam titles consecutively, completing the ‘Nole Slam’**.”

In the Grand Slam article, Djokovic is also listed among the players who achieved a non-calendar-year Grand Slam, and it says he completed the feat in singles in 2016.",pass
"Where can the Treasury of Atreus be found, and what kind of tomb is it?","A correct answer must say that it is in Mycenae, Greece, and that it is a large tholos (beehive) tomb.",hybrid,"The Treasury of Atreus can be found in **Mycenae, Greece**. The excerpt says it is “**a large tholos or beehive tomb constructed between 1300 and 1250 BCE in Mycenae, Greece**.”",pass
What city is the capital of Samangan Province in Afghanistan?,A correct answer must name Aybak as the provincial capital of Samangan Province.,hybrid,"The capital of Samangan Province is **Aybak**. The excerpt says, “**The city of Aybak serves as the provincial capital**.”",pass
"Which player first received the Pete Rozelle Trophy as Super Bowl MVP, and in what Super Bowl was the trophy first awarded?",Correct answer must name Ottis Anderson and Super Bowl XXV. Both the player and the specific Super Bowl number must be included.,hybrid,"The first player to receive the Pete Rozelle Trophy as Super Bowl MVP was **Ottis Anderson**. The excerpt says: “**Ottis Anderson was the first to win the trophy**,” and the trophy was first awarded at **Super Bowl XXV**.",pass
"How many NBA titles did Michael Jordan win with the Chicago Bulls, and which years were those championship seasons?","A correct answer must state that he won six NBA championships with the Chicago Bulls, and it should name the years as 1991, 1992, 1993, 1996, 1997, and 1998.",hybrid,"Michael Jordan won **six NBA titles** with the Chicago Bulls.

The championship seasons were:
- **1990–91**
- **1991–92**
- **1992–93**
- **1995–96**
- **1996–97**
- **1997–98**

As the excerpt says, he won “**six NBA championships with the Chicago Bulls**” and the Bulls’ championship list matches those six seasons.",pass
"According to the lead text, what regions is the lion native to today?","Correct answer must mention that lions currently range only in Sub-Saharan Africa and India. Minor wording differences are fine, but both regions must be included.",hybrid,"According to the lead text, the lion is “currently ranging only in **Sub-Saharan Africa and India**.”",pass
"Who was Melville Fuller, and what office did he hold on the U.S. Supreme Court between 1888 and his death in 1910?","Correct answer must identify Melville Weston Fuller as an American politician, attorney, and jurist, and state that he served as the eighth Chief Justice of the United States (the Supreme Court) from 1888 until 1910/his death.",hybrid,"Melville Weston Fuller was “an American politician, attorney, and jurist” who served on the Supreme Court. The excerpt says he was the “8th Chief Justice of the United States” and that he served “from 1888 until his death in 1910.”

So, between 1888 and 1910, he held the office of **Chief Justice of the United States**.",pass
Which city serves as the capital of Samangan Province in Afghanistan?,A correct answer must name Aybak as the provincial capital of Samangan Province.,hybrid,"The capital of Samangan Province is **Aybak**. The excerpt says, “**The city of Aybak serves as the provincial capital**.”",pass
"What is Stewart Brand known for, and which organizations did he establish other than the Whole Earth Catalog?","A correct answer must state that he is best known as the co-founder and editor of the Whole Earth Catalog, and must mention at least one of the other organizations he founded: the WELL, the Global Business Network, and/or the Long Now Foundation.",hybrid,"Stewart Brand is “best known as the co-founder and editor of the Whole Earth Catalog.” The excerpt also says he founded “the WELL, the Global Business Network, and the Long Now Foundation.”",pass
"What were the two main alliances that fought in World War II, according to the lead text?",A correct answer must name both coalitions: the Allies and the Axis powers.,hybrid,"According to the lead text, World War II was fought between two coalitions: **“the Allies and the Axis powers.”**",pass
"How many people lived in Broken Arrow, Oklahoma, according to the 2020 census?","Correct answer must state that Broken Arrow has a population of 113,540 residents according to the 2020 census.",hybrid,"According to the excerpt, Broken Arrow had a population of **113,540** in the 2020 census: “**According to the 2020 census, Broken Arrow has a population of 113,540 residents**.”",pass
